customer_id,signup_date,city,acquisition_channel,customer_segment
1001,2023-12-24,Hamburg,referral,regular
1002,2024-01-21,Düsseldorf,instagram,regular
1003,2023-12-01,Frankfurt,google_ads,regular
1004,2023-12-07,Köln,instagram,regular
1005,2023-11-05,Berlin,instagram,regular
1006,2023-10-02,Berlin,organic,new
1007,2023-11-25,Berlin,tiktok,new
1008,2023-10-21,Stuttgart,google_ads,regular
1009,2024-01-31,Köln,organic,regular
1010,2023-11-02,Frankfurt,instagram,vip
1011,2024-01-03,Berlin,referral,new
1012,2024-01-28,Düsseldorf,instagram,new
1013,2023-10-28,Stuttgart,organic,regular
1014,2023-10-28,Berlin,google_ads,new
1015,2023-11-25,Berlin,referral,vip
1016,2023-10-19,Berlin,instagram,regular
1017,2024-02-17,Hamburg,tiktok,new
1018,2023-11-09,München,email,regular
1019,2023-09-15,München,instagram,regular
1020,2023-10-24,Hamburg,tiktok,new
1021,2023-12-10,Köln,instagram,vip
1022,2023-09-08,Berlin,tiktok,regular
1023,2023-10-23,Hamburg,tiktok,regular
1024,2023-10-30,Hamburg,google_ads,new
1025,2023-12-17,München,organic,vip
1026,2023-09-05,Frankfurt,email,new
1027,2023-12-12,Berlin,instagram,new
1028,2023-09-06,München,organic,vip
1029,2023-12-18,Köln,organic,new
1030,2023-12-25,Berlin,google_ads,new
1031,2023-12-03,Köln,tiktok,vip
1032,2023-10-17,Berlin,organic,vip
1033,2023-12-08,Berlin,google_ads,regular
1034,2023-10-25,Düsseldorf,instagram,regular
1035,2024-02-15,Düsseldorf,tiktok,new
1036,2023-10-22,Stuttgart,organic,new
1037,2024-01-22,Hamburg,tiktok,new
1038,2023-09-13,Berlin,instagram,regular
1039,2023-12-23,Frankfurt,referral,regular
1040,2024-01-02,München,organic,regular
1041,2023-12-15,Berlin,instagram,regular
1042,2024-02-05,München,organic,new
1043,2024-01-25,Berlin,referral,regular
1044,2024-01-23,Düsseldorf,email,new
1045,2023-12-29,Hamburg,instagram,regular
1046,2023-11-02,Köln,tiktok,new
1047,2023-09-19,Hamburg,email,vip
1048,2023-12-01,München,google_ads,new
1049,2023-10-28,Köln,google_ads,new
1050,2023-11-29,Berlin,instagram,new
1051,2023-12-26,Düsseldorf,organic,regular
1052,2023-11-01,Frankfurt,email,regular
1053,2023-09-23,Düsseldorf,referral,new
1054,2024-01-05,Stuttgart,tiktok,new
1055,2024-01-15,Köln,instagram,regular
1056,2024-01-18,Düsseldorf,instagram,new
1057,2024-01-07,Berlin,tiktok,regular
1058,2023-10-28,Berlin,email,regular
1059,2023-12-31,Berlin,email,new
1060,2023-09-01,Hamburg,email,new
1061,2023-10-04,Hamburg,tiktok,vip
1062,2023-12-05,Hamburg,organic,new
1063,2024-01-04,Stuttgart,organic,new
1064,2023-12-27,Hamburg,email,regular
1065,2023-10-18,Hamburg,tiktok,vip
1066,2023-11-28,Köln,organic,vip
1067,2023-12-26,Berlin,organic,regular
1068,2024-01-07,Stuttgart,tiktok,new
1069,2023-09-16,Berlin,organic,new
1070,2023-11-08,Düsseldorf,organic,regular
1071,2023-09-22,Frankfurt,google_ads,regular
1072,2023-12-02,Berlin,tiktok,new
