order_id,order_date,customer_id,category,amount_gross,discount_pct,amount_after_discount,status,payment_method,delivery_method,product_cost,delivery_cost,payment_fee,return_processing_cost,refund_amount,profit,cancellation_reason,return_reason
25,2024-01-01,1134,home,125.46,0,125.46,cancelled,paypal,standard,77.79,5.5,2.26,0,0.0,-1.0,delivery_too_slow,
68,2024-01-01,1040,fashion,80.87,5,76.83,paid,bank_transfer,pickup,43.67,2.5,1.46,0,0.0,29.2,,
18,2024-01-01,1044,electronics,227.59,20,182.07,paid,paypal,standard,168.42,5.5,4.1,0,0.0,4.06,,
83,2024-01-01,1046,electronics,331.33,10,298.19,paid,card,standard,245.18,5.5,5.96,0,0.0,41.55,,
3,2024-01-02,1078,electronics,126.54,0,126.54,cancelled,card,express,93.64,11.0,1.52,0,0.0,-1.5,payment_failed,
84,2024-01-02,1077,electronics,178.58,0,178.58,paid,paypal,standard,132.15,5.5,4.46,0,0.0,36.47,,
6,2024-01-02,1079,beauty,55.95,5,53.16,cancelled,card,pickup,27.98,2.5,1.4,0,0.0,-1.0,customer_changed_mind,
123,2024-01-02,1065,fashion,135.88,0,135.88,paid,bank_transfer,standard,73.38,5.5,2.45,0,0.0,54.56,,
137,2024-01-02,1082,beauty,28.59,5,27.16,cancelled,invoice,pickup,14.3,2.5,0.51,0,0.0,-1.0,payment_failed,
16,2024-01-02,1062,fashion,32.0,0,32.0,cancelled,card,standard,17.28,5.5,0.58,0,0.0,-1.5,delivery_too_slow,
95,2024-01-03,1028,home,51.95,10,46.76,paid,card,pickup,32.21,2.5,0.62,0,0.0,11.42,,
117,2024-01-03,1024,electronics,199.07,5,189.12,paid,card,standard,147.31,5.5,4.98,0,0.0,31.33,,
128,2024-01-03,1054,home,83.26,5,79.1,paid,bank_transfer,pickup,51.62,2.5,1.0,0,0.0,23.98,,
63,2024-01-03,1003,fashion,88.53,0,88.53,paid,paypal,express,47.8,11.0,1.06,0,0.0,28.66,,
48,2024-01-03,1115,home,52.45,0,52.45,paid,paypal,standard,32.52,5.5,0.63,0,0.0,13.8,,
113,2024-01-04,1137,fashion,47.19,0,47.19,cancelled,paypal,express,25.48,11.0,0.57,0,0.0,-2.0,payment_failed,
59,2024-01-04,1016,fashion,30.85,10,27.77,paid,card,standard,16.66,5.5,0.37,0,0.0,5.24,,
47,2024-01-04,1138,kids,21.34,5,20.27,paid,paypal,standard,12.16,5.5,0.26,0,0.0,2.35,,
13,2024-01-04,1119,home,73.5,0,73.5,cancelled,paypal,express,45.57,11.0,1.32,0,0.0,-2.0,customer_changed_mind,
61,2024-01-04,1061,home,104.11,15,88.49,paid,invoice,pickup,64.55,2.5,1.87,0,0.0,19.57,,
51,2024-01-05,1129,beauty,42.93,0,42.93,cancelled,paypal,express,21.47,11.0,0.52,0,0.0,-2.0,customer_changed_mind,
60,2024-01-05,1037,electronics,69.21,0,69.21,returned,card,standard,51.21,5.5,1.25,18,69.21,-24.75,,not_as_expected
64,2024-01-05,1082,fashion,106.35,0,106.35,cancelled,card,standard,57.43,5.5,1.91,0,0.0,-1.5,customer_changed_mind,
19,2024-01-05,1090,fashion,75.34,20,60.27,paid,card,express,40.68,11.0,1.36,0,0.0,7.23,,
118,2024-01-05,1073,home,77.24,0,77.24,paid,paypal,standard,47.89,5.5,0.93,0,0.0,22.92,,
120,2024-01-05,1002,home,43.24,25,32.43,paid,paypal,standard,26.81,5.5,0.52,0,0.0,-0.4,,
135,2024-01-05,1079,sport,52.18,5,49.57,paid,paypal,pickup,30.27,2.5,0.63,0,0.0,16.18,,
81,2024-01-06,1117,sport,88.3,0,88.3,paid,card,express,51.21,11.0,2.21,0,0.0,23.88,,
24,2024-01-06,1063,beauty,73.24,0,73.24,cancelled,paypal,standard,36.62,5.5,1.83,0,0.0,-2.0,out_of_stock,
71,2024-01-06,1077,beauty,58.68,5,55.74,paid,paypal,express,29.34,11.0,1.06,0,0.0,14.35,,
28,2024-01-06,1115,fashion,49.31,5,46.84,paid,card,standard,26.63,5.5,1.23,0,0.0,13.48,,
104,2024-01-06,1063,kids,69.43,0,69.43,cancelled,paypal,express,39.58,11.0,1.25,0,0.0,-1.0,delivery_too_slow,
133,2024-01-07,1017,home,75.29,10,67.76,cancelled,bank_transfer,express,46.68,11.0,0.9,0,0.0,-2.0,out_of_stock,
111,2024-01-07,1132,fashion,47.21,15,40.13,cancelled,card,standard,25.49,5.5,0.85,0,0.0,-1.5,payment_failed,
33,2024-01-07,1038,home,137.23,5,130.37,paid,card,standard,85.08,5.5,1.65,0,0.0,38.14,,
140,2024-01-07,1017,kids,57.26,10,51.53,paid,card,standard,32.64,5.5,1.03,0,0.0,12.36,,
126,2024-01-07,1042,sport,48.32,5,45.9,paid,paypal,standard,28.03,5.5,0.58,0,0.0,11.8,,
52,2024-01-08,1044,fashion,122.58,20,98.06,cancelled,paypal,express,66.19,11.0,1.47,0,0.0,-2.0,delivery_too_slow,
132,2024-01-08,1073,fashion,114.13,0,114.13,paid,paypal,express,61.63,11.0,2.05,0,0.0,39.45,,
121,2024-01-08,1077,sport,61.07,0,61.07,paid,card,pickup,35.42,2.5,0.73,0,0.0,22.42,,
37,2024-01-08,1018,home,102.81,5,97.67,paid,bank_transfer,standard,63.74,5.5,1.23,0,0.0,27.19,,
78,2024-01-08,1012,sport,64.13,5,60.93,paid,card,standard,37.2,5.5,0.77,0,0.0,17.46,,
43,2024-01-09,1086,fashion,79.37,25,59.53,paid,paypal,standard,42.86,5.5,1.43,0,0.0,9.74,,
116,2024-01-09,1077,sport,76.37,5,72.55,returned,paypal,standard,44.29,5.5,0.92,12,72.55,-18.42,,damaged
30,2024-01-09,1100,kids,58.83,10,52.95,paid,bank_transfer,express,33.53,11.0,0.71,0,0.0,7.71,,
91,2024-01-10,1050,fashion,34.0,10,30.6,paid,invoice,pickup,18.36,2.5,0.41,0,0.0,9.33,,
49,2024-01-11,1054,beauty,64.5,10,58.05,paid,card,standard,32.25,5.5,1.16,0,0.0,19.14,,
124,2024-01-11,1036,home,108.08,0,108.08,paid,invoice,standard,67.01,5.5,1.95,0,0.0,33.62,,
32,2024-01-11,1053,home,90.82,10,81.74,paid,card,standard,56.31,5.5,1.63,0,0.0,18.29,,
15,2024-01-11,1026,sport,79.69,0,79.69,returned,card,standard,46.22,5.5,0.96,18,79.69,-24.46,,size_issue
75,2024-01-11,1079,fashion,72.03,20,57.63,paid,paypal,pickup,38.9,2.5,1.8,0,0.0,14.43,,
108,2024-01-11,1117,fashion,56.62,0,56.62,paid,card,standard,30.58,5.5,1.02,0,0.0,19.53,,
69,2024-01-11,1059,fashion,96.54,10,86.88,paid,paypal,express,52.13,11.0,1.16,0,0.0,22.6,,
96,2024-01-11,1118,electronics,253.13,5,240.48,paid,card,pickup,187.32,2.5,3.04,0,0.0,47.62,,
122,2024-01-12,1003,kids,70.98,0,70.98,paid,invoice,standard,40.46,5.5,1.77,0,0.0,23.25,,
58,2024-01-12,1013,sport,38.4,20,30.72,cancelled,card,pickup,22.27,2.5,0.69,0,0.0,-1.0,customer_changed_mind,
119,2024-01-12,1027,sport,97.68,10,87.91,paid,card,standard,56.65,5.5,1.17,0,0.0,24.58,,
88,2024-01-12,1122,home,167.57,5,159.19,paid,card,pickup,103.89,2.5,2.01,0,0.0,50.79,,
55,2024-01-12,1007,home,93.68,15,79.63,cancelled,bank_transfer,standard,58.08,5.5,1.12,0,0.0,-2.0,customer_changed_mind,
87,2024-01-13,1022,beauty,62.73,10,56.45,paid,card,standard,31.36,5.5,0.75,0,0.0,18.84,,
139,2024-01-13,1079,kids,81.23,0,81.23,returned,card,standard,46.3,5.5,0.97,15,81.23,-21.47,,late_delivery
110,2024-01-13,1117,home,108.04,0,108.04,cancelled,card,standard,66.98,5.5,1.94,0,0.0,-1.0,out_of_stock,
70,2024-01-14,1045,fashion,88.32,0,88.32,cancelled,card,standard,47.69,5.5,1.59,0,0.0,-1.5,payment_failed,
9,2024-01-14,1122,home,78.27,0,78.27,paid,paypal,standard,48.53,5.5,0.94,0,0.0,23.3,,
22,2024-01-14,1060,fashion,91.9,0,91.9,cancelled,card,standard,49.63,5.5,1.1,0,0.0,-2.0,delivery_too_slow,
115,2024-01-14,1108,fashion,70.14,0,70.14,paid,paypal,express,37.87,11.0,0.84,0,0.0,20.42,,
11,2024-01-14,1094,electronics,191.22,5,181.66,returned,paypal,standard,141.5,5.5,3.44,12,181.66,-20.94,,late_delivery
40,2024-01-14,1067,kids,60.63,5,57.6,paid,invoice,pickup,34.56,2.5,1.09,0,0.0,19.45,,
12,2024-01-15,1056,electronics,182.25,10,164.02,cancelled,card,express,134.86,11.0,4.56,0,0.0,-2.0,customer_changed_mind,
